serial_number,time_stamp,opening_value,highest_value,lowest_value,settle_value,volume_sell
949,2014-02-09,538.5,538.5,538.5,538.5,0
950,2014-02-08,538.5,538.5,538.5,538.5,0
951,2014-02-07,542,542,542,542,0
952,2014-02-06,538.5,538.5,538.5,538.5,0
953,2014-02-05,530.5,530.5,530.5,530.5,0
954,2014-02-04,531,531,531,531,0
955,2014-02-03,540.5,540.5,540.5,540.5,0
956,2014-01-31,538.5,538.5,538.5,538.5,0
957,2014-01-30,545.5,545.5,545.5,545.5,0
958,2014-01-29,539,539,539,539,0
959,2014-01-28,542,542,542,542,0
960,2014-01-27,543,543,543,543,0
961,2014-01-24,548.5,548.5,548.5,548.5,0
962,2014-01-23,562,562,562,562,0
963,2014-01-22,572,572,572,572,0
964,2014-01-21,563,563,563,563,0
965,2014-01-20,567,567,567,567,0
966,2014-01-18,567.5,567.5,567.5,567.5,0
967,2014-01-17,567.5,567.5,567.5,567.5,0
968,2014-01-16,566.5,566.5,566.5,566.5,0
969,2014-01-15,570.5,570.5,570.5,570.5,0
970,2014-01-14,566.5,566.5,566.5,566.5,0
971,2014-01-13,568.5,568.5,568.5,568.5,0
972,2014-01-09,560.5,560.5,560.5,560.5,0
973,2014-01-08,569,569,569,569,0
974,2014-01-07,565,565,565,565,0
975,2014-01-06,567.5,567.5,567.5,567.5,0
976,2014-01-03,574.5,574.5,574.5,574.5,0
977,2014-01-02,583.5,583.5,583.5,583.5,0
978,2013-12-30,587,587,587,587,0
979,2013-12-27,590,590,590,590,0
980,2013-12-24,582.5,582.5,582.5,582.5,0
981,2013-12-23,576.555,576.555,576.555,576.555,0
982,2013-12-20,577,577,577,577,0
983,2013-12-19,582.5,582.5,582.5,582.5,0
984,2013-12-18,587,587,587,587,0
985,2013-12-17,585.5,585.5,585.5,585.5,0
986,2013-12-16,596,596,596,596,0
987,2013-12-13,590.5,590.5,590.5,590.5,0
988,2013-12-12,590,590,590,590,0
989,2013-12-11,596.5,596.5,596.5,596.5,0
990,2013-12-10,607.5,607.5,607.5,607.5,0
991,2013-12-09,612,612,612,612,0
992,2013-12-06,615,615,615,615,0
993,2013-12-05,605,605,605,605,0
994,2013-12-04,605.5,605.5,605.5,605.5,0
995,2013-12-03,602,602,602,602,0
996,2013-12-02,613,613,613,613,0
997,2013-11-29,613,613,613,613,0
998,2013-11-28,604.5,604.5,604.5,604.5,0
999,2013-11-27,606.5,606.5,606.5,606.5,0
1000,2013-11-26,598,598,598,598,0
1001,2013-11-25,604,604,604,604,0
1002,2013-11-22,603.5,603.5,603.5,603.5,0
1003,2013-11-21,599.5,599.5,599.5,599.5,0
1004,2013-11-20,605,605,605,605,0
1005,2013-11-19,606.5,606.5,606.5,606.5,0
1006,2013-11-18,603,603,603,603,0
1007,2013-11-15,594.5,594.5,594.5,594.5,0
1008,2013-11-14,566.5,566.5,566.5,566.5,0
1009,2013-11-13,560,560,560,560,0
1010,2013-11-12,572,572,572,572,0
1011,2013-11-11,574.5,574.5,574.5,574.5,0
1012,2013-11-08,566.5,566.5,566.5,566.5,0
1013,2013-11-07,572,572,572,572,0
1014,2013-11-06,576.5,576.5,576.5,576.5,0
1015,2013-11-05,577.5,577.5,577.5,577.5,0
1016,2013-11-04,580.5,580.5,580.5,580.5,0
1017,2013-11-01,582,582,582,582,0
1018,2013-10-31,581.5,581.5,581.5,581.5,0
1019,2013-10-30,582,582,582,582,0
1020,2013-10-29,570,570,570,570,0
1021,2013-10-28,566.5,566.5,566.5,566.5,0
1022,2013-10-25,563,563,563,563,0
1023,2013-10-24,568,568,568,568,0
1024,2013-10-23,573,573,573,573,0
1025,2013-10-22,584.5,584.5,584.5,584.5,0
1026,2013-10-21,588,588,588,588,0
1027,2013-10-18,584,584,584,584,0
1028,2013-10-17,579.5,579.5,579.5,579.5,0
1029,2013-10-16,582.5,582.5,582.5,582.5,0
1030,2013-10-15,585,585,585,585,0
1031,2013-10-14,581.5,581.5,581.5,581.5,0
1032,2013-10-11,581.5,581.5,581.5,581.5,0
1033,2013-10-10,575,575,575,575,0
1034,2013-10-08,581,581,581,581,0
1035,2013-10-04,577,577,577,577,0
1036,2013-10-03,567,567,567,567,0
1037,2013-10-02,567,567,567,567,0
1038,2013-10-01,567,567,567,567,0
1039,2013-09-30,567,567,567,567,0
1040,2013-09-27,575.5,575.5,575.5,575.5,0
1041,2013-09-26,575,575,575,575,0
1042,2013-09-25,578.5,578.5,578.5,578.5,0
1043,2013-09-24,577,577,577,577,0
1044,2013-09-23,583.5,583.5,583.5,583.5,0
1045,2013-09-20,582.97,582.97,582.97,582.97,0
1046,2013-09-19,583,583,583,583,0
1047,2013-09-18,576,576,576,576,0
1048,2013-09-17,581,581,581,581,0
1049,2013-09-16,581.5,581.5,581.5,581.5,0
1050,2013-09-13,573.5,573.5,573.5,573.5,0
1051,2013-09-12,576.5,576.5,576.5,576.5,0
1052,2013-09-11,576.5,576.5,576.5,576.5,0
1053,2013-09-10,578,578,578,578,0
1054,2013-09-09,569,569,569,569,0
